#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
SPT-3G_2021        ,          ,     475.0 ,           ,      12.0000 ,       0.6000 ,       0.6000 ,             
SPT-3G_2021        ,          ,     524.0 ,           ,       7.2000 ,       0.4000 ,       0.4000 ,             
SPT-3G_2021        ,          ,     575.0 ,           ,      11.6000 ,       0.6000 ,       0.6000 ,             
SPT-3G_2021        ,          ,     624.0 ,           ,      29.7000 ,       1.1000 ,       1.1000 ,             
SPT-3G_2021        ,          ,     674.0 ,           ,      39.0000 ,       1.3000 ,       1.3000 ,             
SPT-3G_2021        ,          ,     725.0 ,           ,      34.5000 ,       1.2000 ,       1.2000 ,             
SPT-3G_2021        ,          ,     774.0 ,           ,      20.7000 ,       0.9000 ,       0.9000 ,             
SPT-3G_2021        ,          ,     824.0 ,           ,      13.5000 ,       0.6000 ,       0.6000 ,             
SPT-3G_2021        ,          ,     874.0 ,           ,      17.1000 ,       0.7000 ,       0.7000 ,             
SPT-3G_2021        ,          ,     924.0 ,           ,      31.6000 ,       1.0000 ,       1.0000 ,             
SPT-3G_2021        ,          ,     974.0 ,           ,      40.6000 ,       1.3000 ,       1.3000 ,             
SPT-3G_2021        ,          ,    1024.0 ,           ,      38.5000 ,       1.3000 ,       1.3000 ,             
SPT-3G_2021        ,          ,    1075.0 ,           ,      26.2000 ,       1.0000 ,       1.0000 ,             
SPT-3G_2021        ,          ,    1124.0 ,           ,      15.0000 ,       0.6000 ,       0.6000 ,             
SPT-3G_2021        ,          ,    1174.0 ,           ,      12.4000 ,       0.6000 ,       0.6000 ,             
SPT-3G_2021        ,          ,    1224.0 ,           ,      21.9000 ,       0.9000 ,       0.9000 ,             
SPT-3G_2021        ,          ,    1275.0 ,           ,      29.2000 ,       1.1000 ,       1.1000 ,             
SPT-3G_2021        ,          ,    1325.0 ,           ,      31.1000 ,       1.1000 ,       1.1000 ,             
SPT-3G_2021        ,          ,    1374.0 ,           ,      22.7000 ,       0.9000 ,       0.9000 ,             
SPT-3G_2021        ,          ,    1424.0 ,           ,      12.8000 ,       0.7000 ,       0.7000 ,             
SPT-3G_2021        ,          ,    1474.0 ,           ,      10.6000 ,       0.6000 ,       0.6000 ,             
